dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,12.29868,8.63836
"1 Ave & E 18 St",2003,13.76281,15.51977
"1 Ave & E 30 St",536,12.4451,3.513909
"1 Ave & E 44 St",455,20.64422,5.710103
"",489,,
"11 Ave & W 27 St",458,9.516837,7.320644
"11 Ave & W 41 St",478,14.64129,13.17716
"11 Ave & W 59 St",530,21.96193,26.50073
"12 Ave & W 40 St",514,4.099561,12.4451
"2 Ave & E 31 St",528,12.59151,0
"",290,,
"",298,,
"5 Ave & E 29 St",474,16.25183,2.04978
"",2004,,
"6 Ave & Canal St",377,4.392386,.1464129
"6 Ave & W 33 St",505,20.35139,2.04978
"",521,,
"8 Ave & W 33 St",490,58.12592,17.86237
"8 Ave & W 52 St",447,24.15813,.5856515
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,2.196193,18.74085
"9 Ave & W 45 St",479,17.86237,2.342606
"Adelphi St & Myrtle Ave",270,8.345534,7.906296
"Allen St & Stanton St",312,10.54173,9.66325
"Allen St & Hester St",361,5.124451,13.17716
"Allen St & Rivington St",401,7.759883,9.516837
"",271,,
"Atlantic Ave & Fort Greene Pl",83,0,0
"Atlantic Ave & Furman St",398,1.171303,2.342606
"Avenue D & E 12 St",339,12.4451,17.27672
"Avenue D & E 3 St",302,14.64129,27.37921
"Avenue D & E 8 St",266,11.42021,25.32943
"Bank St & Hudson St",346,5.124451,15.81259
"Bank St & Washington St",238,68.52123,8.199121
"Barclay St & Church St",417,3.513909,10.83455
"Barrow St & Hudson St",127,1.464129,15.81259
"Bayard St & Baxter St",355,3.513909,5.124451
"Bedford Ave & S 9 St",443,6.734993,0
"Bialystoker Pl & Delancey St",356,11.12738,29.5754
"",395,,
"Broad St & Bridge St",260,28.55051,10.68814
"Broadway & Battery Pl",304,8.199121,.7320644
"Broadway & Berry St",389,6.58858,.5856515
"Broadway & E 14 St",285,4.685212,1.610542
"Broadway & E 22 St",402,21.37628,.1464129
"",444,,
"Broadway & W 29 St",486,23.57247,0
"Broadway & W 32 St",498,29.42899,.2928258
"Broadway & W 36 St",267,30.16105,0
"Broadway & W 37 St",362,35.43192,1.02489
"Broadway & W 38 St",533,42.45974,.5856515
"Broadway & W 41 St",465,24.45095,.2928258
"Broadway & W 49 St",173,30.30747,1.610542
"Broadway & W 51 St",500,38.653,1.317716
"Broadway & W 53 St",469,34.84627,.7320644
"Broadway & W 56 St",468,37.4817,0
"Broadway & W 58 St",457,31.91801,.1464129
"Broadway & W 60 St",499,26.93997,.1464129
"Bus Slip & State St",427,8.931186,7.320644
"Cadman Plaza E & Red Cross Pl",321,7.320644,8.199121
"Cadman Plaza E & Tillary St",232,.5856515,5.56369
"Cadman Plaza West & Montague St",314,4.392386,1.464129
"Canal St & Rutgers St",307,4.831625,.5856515
"Carlton Ave & Park Ave",419,3.221083,2.196193
"Carmine St & 6 Ave",368,1.171303,8.63836
"Catherine St & Monroe St",2009,.5856515,23.71889
"Central Park S & 6 Ave",2006,24.15813,2.196193
"Centre St & Chambers St",387,7.174232,6.002928
"Centre St & Worth St",386,8.052709,9.370424
"Cherry St",332,11.71303,21.96193
"Christopher St & Greenwich St",358,3.953148,20.35139
"Clark St & Henry St",391,4.831625,.1464129
"Clermont Ave & Lafayette Ave",420,8.784773,2.342606
"Clermont Ave & Park Ave",421,8.052709,7.320644
"Cleveland Pl & Spring St",151,12.15227,5.124451
"Cliff St & Fulton St",306,2.781845,16.10542
"Clinton Ave & Flushing Ave",343,.2928258,7.61347
"Clinton Ave & Myrtle Ave",366,8.052709,5.56369
"Clinton St & Grand St",350,11.85944,22.98682
"Clinton St & Joralemon St",143,3.953148,3.221083
"Clinton St & Tillary St",322,.1464129,2.928258
"Columbia Heights & Cranberry St",216,4.685212,.1464129
"Columbia St & Rivington St",342,10.2489,24.30454
"Concord St & Bridge St",278,1.02489,3.221083
"Cumberland St & Lafayette Ave",416,6.149341,.2928258
"DeKalb Ave & Hudson Ave",324,.8784773,8.63836
"DeKalb Ave & S Portland Ave",241,4.245974,1.171303
"DeKalb Ave & Skillman St",409,3.660322,4.245974
"DeKalb Ave & Vanderbilt Ave",258,8.784773,.8784773
"Dean St & 4 Ave",467,3.513909,3.806735
"Division St & Bowery",296,.2928258,7.906296
"Duane St & Greenwich St",276,3.953148,11.27379
"Duffield St & Willoughby St",390,62.22548,4.392386
"E 10 St & 5 Ave",280,57.54026,0
"E 10 St & Avenue A",445,9.66325,6.149341
"E 11 St & 1 Ave",326,13.03075,14.7877
"E 11 St & 2 Ave",237,9.370424,14.05564
"E 11 St & Broadway",357,6.734993,.7320644
"E 12 St & 3 Ave",483,4.099561,2.635432
"E 13 St & Avenue A",433,14.05564,11.12738
"",511,,
"E 15 St & 3 Ave",297,6.002928,3.806735
"E 16 St & 5 Ave",496,14.20205,5.710103
"",475,,
"E 17 St & Broadway",497,14.20205,7.320644
"E 19 St & 3 Ave",325,6.442167,2.342606
"E 2 St & 2 Ave",403,4.831625,12.00586
"E 2 St & Avenue B",301,13.17716,22.40117
"E 2 St & Avenue C",150,16.69107,10.54173
"E 20 St & 2 Ave",461,13.17716,7.61347
"E 20 St & FDR Drive",487,9.224011,16.25183
"E 20 St & Park Ave",503,16.54466,4.831625
"E 23 St & 1 Ave",545,8.784773,20.05857
"E 24 St & Park Ave S",491,24.74378,7.320644
"E 25 St & 1 Ave",174,12.29868,10.98097
"E 25 St & 2 Ave",507,9.077599,0
"E 27 St & 1 Ave",2012,12.29868,1.903368
"",428,,
"E 30 St & Park Ave S",546,17.56955,2.635432
"E 31 St & 3 Ave",476,11.12738,0
"E 32 St & Park Ave",472,21.96193,.2928258
"E 33 St & 2 Ave",527,9.077599,0
"E 33 St & 5 Ave",526,26.64714,.5856515
"",160,,
"E 39 St & 2 Ave",518,12.29868,0
"E 39 St & 3 Ave",167,15.37335,.1464129
"E 4 St & 2 Ave",439,5.856515,11.27379
"",153,,
"",2017,,
"",318,,
"E 45 St & 3 Ave",440,27.2328,6.58858
"E 47 St & 1 Ave",516,24.45095,4.392386
"E 47 St & 2 Ave",164,21.22987,3.367496
"E 47 St & Park Ave",359,27.67204,0
"E 48 St & 3 Ave",228,19.76574,5.710103
"",538,,
"E 5 St & Avenue C",393,14.64129,23.71889
"E 51 St & 1 Ave",454,11.27379,.5856515
"E 51 St & Lexington Ave",522,36.60322,6.149341
"E 52 St & 2 Ave",441,12.29868,1.756955
"",367,,
"E 53 St & Madison Ave",456,40.84919,7.467057
"E 55 St & 2 Ave",385,100,100
"E 55 St & Lexington Ave",2023,34.69985,4.831625
"",464,,
"",137,,
"E 58 St & 3 Ave",305,22.10835,5.417277
"E 60 St & York Ave",2022,5.270864,0
